"signature_date";"system_object_id";"global_id";"ALFA3";"SHORTNAME";"FULLNAME";"ALFA2";"CODE";
"21.09.2016 15:30:10";"716";"273330126";"ZWE";"ЗИМБАБВЕ";"Республика Зимбабве";"ZW";"716";
"21.09.2016 15:30:09";"724";"273330127";"ESP";"ИСПАНИЯ";"Королевство Испания";"ES";"724";
"21.09.2016 15:30:09";"728";"273330128";"SSD";"ЮЖНЫЙ СУДАН";"Республика Южный Судан";"SS";"728";
"21.09.2016 15:31:08";"729";"273330129";"SDN";"СУДАН";"Республика Судан";"SD";"729";
"21.09.2016 15:31:09";"732";"273330130";"ESH";"ЗАПАДНАЯ САХАРА";"";"EH";"732";
"21.09.2016 15:31:09";"740";"273330131";"SUR";"СУРИНАМ";"Республика Суринам";"SR";"740";
"21.09.2016 15:31:09";"744";"273330132";"SJM";"ШПИЦБЕРГЕН И ЯН МАЙЕН";"";"SJ";"744";
"21.09.2016 15:31:10";"752";"273330133";"SWE";"ШВЕЦИЯ";"Королевство Швеция";"SE";"752";
"21.09.2016 15:31:10";"756";"273330134";"CHE";"ШВЕЙЦАРИЯ";"Швейцарская Конфедерация";"CH";"756";
"21.09.2016 15:31:11";"760";"273330135";"SYR";"СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА";"";"SY";"760";
"21.09.2016 15:32:04";"762";"273330136";"TJK";"ТАДЖИКИСТАН";"Республика Таджикистан";"TJ";"762";
"21.09.2016 15:32:07";"764";"273330137";"THA";"ТАИЛАНД";"Королевство Таиланд";"TH";"764";
"21.09.2016 15:32:06";"768";"273330138";"TGO";"ТОГО";"Тоголезская Республика";"TG";"768";
"21.09.2016 15:32:06";"772";"273330139";"TKL";"ТОКЕЛАУ";"";"TK";"772";
"21.09.2016 15:32:05";"776";"273330140";"TON";"ТОНГА";"Королевство Тонга";"TO";"776";
"21.09.2016 15:32:04";"780";"273330141";"TTO";"ТРИНИДАД И ТОБАГО";"Республика Тринидад и Тобаго";"TT";"780";
